,What class does the SI leader support?,Is this a full observation or coaching session?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:,Session Requirements: [Session plan utilized (as far as you can tell)],Session Requirements: [Agenda displayed/shared],How was the session opened?,Which collaborative techniques did the SI Leader use during the session?,Space use: what was the structure of the room and its purpose?,The SI Leader... [Uses a variety of collaborative techniques & learning activities],"The SI Leader... [Uses activities that serve a broad range of learning styles (visual, auditory, kinesthetic)]",The SI Leader... [Includes or mentions study strategies or tips],"The SI Leader... [Redirects a majority of questions (to a student, the group, or source materials)]",The SI Leader... [Breaks down large concepts without re-lecturing],The SI Leader... [Allows students to process question or prompt before providing insight (wait time)],The SI Leader... [Consistently and effectively checks for understanding],"The SI Leader... [Actively encourages student interactions by moving around the room, having students scribe, break-out groups, etc]",The SI Leader... [Makes sure information is correct],The SI Leader... [Balances having a productive and flexible session],What are areas of improvement or strengths for the SIL from above?,Rate the SI Leader on the following: [Demonstrates respect for all students],Rate the SI Leader on the following: [Makes an effort to connect with all students],Rate the SI Leader on the following: [Fosters a comfortable learning environment for all students],Rate the SI Leader on the following: [Praises & encourages students for their contributions],Rate the SI Leader on the following: [Knows and uses the students' names],Rate the SI Leader on the following: [Behaves in a professional manner throughout session],Rate the SI Leader on the following: [Models excitement for the subject],Rate the SI Leader on the following: [Greets and actively incorporates all students (including late comers) into the session activities],Rate the SI Leader on the following: [Most people participated in the session],"Rate the SI Leader on the following: [Learning was student led (for example, SI participants hold the marker more than the SI Leader).]",What are areas of improvement or strengths for the SIL from above?,How many students were present in the session?,How did the session close?,Overall areas of strength for SI Leader. (Please copy your answer below into the email you send to the SI Leader.),Overall areas of improvement for SI Leader.  (Please copy your answer below into the email you send to the SI Leader.)
,MATH-171,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails, Other","The session was going to review the exam questions since that was today and then allow the students to choose any topics that they want to practice. I think this is a great way to handle the session because some students want to know how they did or go over things they weren't sure they did well in right after. Also, allowing them to choose the topics might make them feel more supported with the subject. You could think about making it more interesting with gamifying activities or trying to find some other way to make activities fun for the students.","Marketing Strategies: talking with students in class, sending out emails, reward of additional exam review guides for attending a set amount of sessionsI think those are all great ways to market sessions and those are the methods I often used.
Try connecting with your cohort more often and see if y'all can come up with more ideas for activities and marketing. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSCI-141,Full observation,,,,Yes,Yes,Went through their old youtube account and chatted,"Group discussion, Clusters, Think-Pair-Share",Promoted collaboration,Somewhat,Yes,No,No,Yes,Somewhat,Yes,Yes,Yes,Yes,"The SI excels at creating a collaborative environment between students and fosters a real sense of community. This class was extremely hard to get talking and the SI was very flexible and observant to more shy students, making sure to adjust their session as needed. From what I was told, they we're missing 2 students that create a much more extroverted dynamic so it was nice to see how adaptable they we're. 

 However, the SI could use some more focus on redirection and wait time. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,The SI created a great environment for the students to be in. They are very personable and clearly has great rapport with them. The SI was flexible with the students needs. The opening in particular really highlighted how great the student-SI dynamic was as even shy students felt comfortable talking with and asking questions to the SI.  ,4,Worlde,"* Created a relaxed and welcoming learning environment. The SI as a whole was very personable and had a great rapport with the students. 

* Promoted collaboration between students. Demonstrated adaptability by noticing when a quieter student participated less and adjusting accordingly. For example, prompting the more shy student with objectives or allowing individual work, then re-grouping and discussing. 

* I was really impressed with the slides. When using slides, it can be easy to turn it into a lecture; the SI, on the other hand, used them more for active recall and checking for understanding (a slide is brief and vague, then has a student use active recall to explain it, then finally has students do an activity relating to the slide to check for understanding) 

* Moved throughout the room frequently to provide individualized support and assess understanding.","* Could benefit from incorporating more redirection. 

** Instead of directly confirming correctness, ask students to identify or explain their reasoning. The end goal is for students to discover mistakes naturally and correct them naturally to promote critical thinking. 

** With a group that size, it can be helpful to bounce a question around a few times instead of directly answering it. This helps check for understanding (from other students) and promotes collaboration. (don't be afraid of wait time)

* It was evident that this group was much harder to get to collaborate with each other, especially when in clusters. One alternative to this may be to have a much larger group discussion or to do an activity as a class instead. This allows the SI to act as a guide for the conversation. For example, you can bounce questions or ideas around, use wait time until someone speaks, or ask more shy students questions or prompt them to write something directly.

*  There were a few ""Does that make sense?"" moments. It can feel instinctual to ask this, but 9/10 times, a confused student will simply say yes. "
,CHMG 141,Full observation,,,,Yes,Yes,"They did a family feud with some fun college themed questions, ex. what do college students eat when they're broke. ","Group discussion, Clusters",Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,The session was well structured to promote collaboration and learning. The SI used the appropriate facilitation methods to enhance learning.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI had a great session atmosphere, students were comfortable and prepared to learn.",4,What did you learn?,"You had a great session atmosphere, students were comfortable and prepared to learn.The session was well structured to promote collaboration and learning. You used the appropriate facilitation methods to enhance learning. ",N/A - great session!
,CSCI-141,Full observation,,,,Yes,No,Content review,"Clusters, Turn to a partner, Think-Pair-Share, Individual Presentations",Promoted collaboration,Yes,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"Great job creating a collaborative environment! I thought your variety of Kahoot and whiteboard coding activities covered a good amount of material, and the students seemed engaged. I also thought you did a great job having your more vocal student lead the session, it's a good way to not lecture. My one suggestion would be to actively redirect more questions and check for understanding with your quieter students. Also don't forget to include the agenda on the board!",Yes,Somewhat,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,"Good job creating a comfortable learning environment! Everyone was super talkative and collaborated well for the whiteboard activity. Its also always nice to see an SI leader giving advice to underclassman on classes, I think it really helps them. I would suggest trying to keep conversations a bit more on-topic so you can devote enough time for the material. Also if they start talking about topics like drinking and parties, please try to redirect them back on track. ",3,Kahoot,"Great job creating a collaborative environment! I thought your variety of Kahoot and whiteboard coding activities covered a good amount of material, and the students seemed engaged. I also thought you did a great job having your more vocal student lead the session, it's a good way to not lecture. Good job creating a comfortable learning environment! Everyone was super talkative and collaborated well for the whiteboard activity. Its also always nice to see an SI leader giving advice to underclassman on classes, I think it really helps them.","My one suggestion would be to actively redirect more questions and check for understanding with your quieter students. Also don't forget to include the agenda on the board!  I would suggest trying to keep conversations a bit more on-topic so you can devote enough time for the material. Also if they start talking about topics like drinking and parties, please try to redirect them back on track. "
,MATH-101,Full observation,,,,Yes,Yes,Highs and Lows,"Group discussion, Clusters, Turn to a partner, Individual Presentations, Assigned Discussion Leader",Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Great session! I loved the amount of redirection you did between your students, and use of wait time. The hints you gave them when they were confused about a solution worked well in leading them to the right solution. Also great job incorporating the latecomer into the session! I know it can be tricky when you have a super shy student, but I thought you did fantastic checking in on them and trying to include them in the activities. The only thing I'd recommend is if you cover two sections of a class at different points in the material, you may want to structure your sessions around the class that's more behind so everyone knows the material.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Fantastic job creating a comfortable learning environment! It's clear that you care about your students and want them to feel included. Remembering one of your regular's birthdays and bringing them a cupcake and cookies for the rest is extremely thoughtful, I wish all SI leaders could be like that. Once again kudos for persevering in including your more quiet student in the activity, they were clearly more confident by the end. No suggestions :)",3,SI reward shirt design choice,"Great session! I loved the amount of redirection you did between your students, and use of wait time. The hints you gave them when they were confused about a solution worked well in leading them to the right solution. Also great job incorporating the latecomer into the session! I know it can be tricky when you have a super shy student, but I thought you did fantastic checking in on them and trying to include them in the activities. Fantastic job creating a comfortable learning environment! It's clear that you care about your students and want them to feel included. Remembering one of your regular's birthdays and bringing them a cupcake and cookies for the rest is extremely thoughtful, I wish all SI leaders could be like that. Once again kudos for persevering in including your more quiet student in the activity, they were clearly more confident by the end. No suggestions :)"," The only thing I'd recommend is if you cover two sections of a class at different points in the material, you may want to structure your sessions around the class that's more behind so everyone knows the material."
,CSCI-140,Full observation,,,,Yes,Yes,Talking about the exam and Halloween plans,Clusters,Promoted collaboration,Somewhat,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,"It started off slow, but SIL got all the students to talk to each other and work together on the coding problems. He also did a good job walking around and giving all of the students attention.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"When a student came in late, SIL instantly got them incorporated into a group. Haroon didn't touch a marker for the whole whiteboard coding activity. He modeled excitement in the subject by looking up questions that the students had that he didn't know the answers to.",5,SIL asked the students what they would like him to include in the next SI Sessions,"I was initially worried that the students weren't going to talk to each other during the whole activity and just work independently, but they did eventually start talking to each other. You did a good job trying to get the students to work together, even though there were two that seemed to want to work on their own. You walked around and helped out everyone and you were very approachable. You also instantly incorporated the student that came in late into a group.","I didn't see you do anything wrong. If I wanted to nitpick I'll say during the opener there was a student that said they didn't know what try with resources was, then one student explained it. I would have asked the confused student to repeat the answer to check that they understood it."
,CSCI - 243,Full observation,,,,Yes,No,Chameleon,"Group discussion, Clusters, Turn to a partner, Individual Presentations",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,The use of facilitation strategies was night and day. The SI consistently and strategically uses concepts such as redirection and wait time to allow the students to communicate with each other and  brainstorm the solution in place of simply answering them. Likewise the class was very talkative and worked extremely well for this interactive style of learning. ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI created a fully collaborative session. Knew students, talked to them personally and created a welcoming environment to be in. At the same time the SI was able to reel the students back in when needed and kept a very good balance between the SI-student dynamic. ",5,bitwise operation examples (not enough time to get to Kahoot),"* The SI is very personable and builds strong connections with students, starting conversations and getting to know them individually.

* The inclusion of the facilitation strategies has improved much since I last observed a session. Wait time is excellent, allowing students to think through and articulate their ideas. The SI employs redirection skillfully, prompting students to work through questions together rather than providing immediate answers. 

* The SIs' opening (Chameleon) in particular was very creative, promoted collaboration, communication, and critical thinking in a lighthearted way (bonus points for taking the extra effort and creating your own website for it). 

* The SI involves students actively, having them work at the whiteboard, explain answers, and participate in engaging activities like races. They managed the classroom well, regrouping and clustering students when needed, and kept them engaged throughout.","These are a bit more nitpicky as there wasn't too much to comment on:

* It might have been easier for the students to grasp the content if there was more structure to the activities, especially if it's their first time with the concept. For example, with the unsigned and signed bits, it might have been helpful for them to do a few examples before jumping into more abstract concepts (for example, it wasn't clear if the students fully understood why 1's complement resulted in 2 zeros and why 2's complement solved this issue). Personally, I've always viewed it as the SI is a guide for the conversation, but the students drive the conversation. "
,CSCI-243,Full observation,,,,Yes,Yes,"It was opened with a ""Guess the Game"" where you're given a few pictures from a game from which the students had to guess the game. This was a fun opener since it allowed the students to start a conversation and also for the SIL t become more personable.","Group discussion, Clusters",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,"Areas of Strength:
The SIL did a great job of ensuring the students were all working together by having them sit together and reminding them to discuss when things got silent. When students could not find an answer despite discussing with each other, the SIL had them work through an example/question which allowed them to reach the answer on their own (great use of redirecting/breaking down large concepts without re-lecturing). Instead of asking whether the students understood, he asked what questions they still had which takes the pressure of knowing things away. When students asked him questions, he asked other students if they understood or to help explain things (another point in the redirecting questions column). When students struggled to understand the concept, he led them through parts of it so that they knew enough to understand and then gave the board to the students and stepped away for them to start figuring out an answer. The Kahoot was a great way to check for understanding at the end. The activities had a good range of different study techniques including discussion, practice, and quizzing.
Areas of Improvement:
These are just a nitpick. When the students have questions and none can answer it, have them look at their resources like notes so that they remember how to make use of those while studying. During the group coding, have them all at the board so that you know they're all working together. Otherwise, the student will turn to you with their questions than each other.",Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,Yes,"Areas of Strength:
The SIL did not just tell the students when they were correct. He made sure they discussed their answer, came to a group consensus, and also wrote it down so they had a fixed answer to look back to. The discussions were student-led with question asked to facilitate it. All the students participated and seemed comfortable doing so. The SIL did not have to wait too long for an answer or start calling on people to answer.
Areas of Improvement:
I don't think I saw anything here that needs mentioning.",3,The session closed with a Kahoot which was a great way to check for understanding. ,"You did a great job of ensuring the students were all working together by having them sit together and reminding them to discuss when things got silent. You did a great job of redirecting questions using examples and the other students. Your checking for understanding was superb as you asked what questions they still had which takes the pressure of knowing things away. When students struggled and could not work together to get to the answer, you did a good job of breaking down the concept instead of lecturing.The discussions were student-led with questions asked to facilitate it. The activities had a good range of different study techniques including discussion, practice, and quizzing.","During the group coding, have them all at the board so that you know they're all working together. Otherwise, the student will turn to you with their questions rather than each other. Also, when you ask them questions, make sure to ask others to explain the answer they give (like during the Kahoot when one student asked you how XOR worked) instead of walking through it yourself. "
,MATH 171,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails","N/A - session plan looked great! Very appropriate content for a post exam session, only possible area of improvement could be to include some kind of exam study strategies or reflection on how the exam went.",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PHPS-106,Full observation,,,,Yes,Yes,An exam check-in!,"Group discussion, Clusters, Think-Pair-Share",Promoted collaboration,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Somewhat,Yes,Yes,"Great job tying in study tips so heavily! I don't see that super often in SI session but for a post-exam session there were great content activities. I did feel that for the group notes organizer she could have had more prompts to get them to talk to each other because it was somewhat very individual-work heavy there. During the review questions, there was great redirection, although the students weren't very responsive to the methods of checking for understanding used so I'd recommend trying more of a variety of those. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"She was constantly moving around the room to check on groups and has great methods for connecting with the students (e.g. I really like the idea of an SI playlist she lets her students compile, and she got a lot of students to laugh when she was talking about roommate troubles while waiting for students to show up). She brings great energy to her sessions. ",5,A review Kahoot (I think),"You bring great enthusiasm to your sessions, and all your methods of connecting with your students are great— stories while waiting for students to show up, the SI playlist, the personalized explanations of things, and so on. I also appreciated that you were so often moving around to check on them, and the content ideas were great for a post-exam session! It's not too often that I see such heavy inclusion of study tips outside of your sessions. ","During the group notes organizer activity, I would have loved to see more prompts to encourage collaboration. Even though you told them they should work together, sometimes it can end up that quiet because they just don't see a reason to talk. For example, you could explicitly have them compare notes on certain topics (depending on the course rules about sharing notes, which is almost always fine as long as it's just notes). Similarly with some of the checking for understanding where they were a bit unresponsive, you could try using incentives like candy for getting them to be more eager to respond. "
,MATH-171,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails","SIL's slides were good, they had just the questions on them without having a paragraph of text. He ran a practice problem for me from the slides. He helped me stay on track while I still felt like I was doing all of the work. In terms of areas for improvement during that activity, I didn't see anything that was concerning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ECON-101,Full observation,,,,Yes,Yes,Emoji Kitchen; some game that involved comboing emojis to make a new (Halloween themed) one,"Clusters, Jigsaw",Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Absolute mastery over the facilitation strategies; same as last time I observed SIL I fear it is difficult to nitpick anything. It was well-paced and you can't go wrong with making students do whiteboard problems. ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Considering SIL is very known for his enthusiasm for ECON, this category was also certainly delivered on. I do want to emphasize that even though there were some students who wanted to participate less than others, he handled it well via making sure to ask them just as many questions about the board work even if they didn't want to write as much, such that all four of them participated. ",4,"Spotle, a classic game","Masterful use of the facilitation strategies; there was hardly a question that wasn't redirected. Your enthusiasm is well-known already, and I appreciate the session atmosphere. Even though some students were less inclined to write on the board than others, you did a great job asking them just as many questions to make sure everyone participated. ","I'm being extremely nitpicky— For the opener, although it was creative and it's great to see that you were able to fit in short openers again, it'd be cool if there was slightly more collaboration to it. For example, something as super simple as showing one another their emoji combos or if you had more time then something like having them draw it on the board to show it off. You could even tie it in activities (like then pretending their emoji combos are company logos and pretending their given problems are related to the emoji companies). "
,GCIS  - 123 ,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails, Other","Strengths:

* The session was very student-led and promoted critical thinking
* The slides avoid lecturing and promote student interaction
* The SI tries to keep students out of their seats for as long as possible and at the whiteboard. 
* The session was adaptable to different group sizes

Areas of Growth:
* The session could use a bit more variety in learning styles, as it seemed to be pretty heavy on code examples in place of conceptually understanding things.","Marketing:

General Marketing areas were touched on:

* the SI seems to be hitting the core requirements along with promoting sessions in other ways.

*  The idea of using the professor as a method of marketing was discussed, such as having them post announcements on myCourses or promote it during lecture. 

* Likewise, the SI could use a Google Form to collect ideas on why students may or may not be attending. Ways of getting the students to fill out the form were also brought up, such as making a reward for class percentage, putting exam survey questions on it, and having them rank SI activities to promote what happens during sessions.

Other Areas:

One key area that was touched on was how to incorporate a more verbose catalog of openings. 

In general, all classes are different, and some mesh with different types of openings; not all of them have to be personal, such as ""Highs and Lows"" or ""Fun Facts"". They can be simple online games such as LinkedIn mini games, Wordle, or GeoGuessr. If you want to get them out of their seats, you could do something like a whiteboard tier list (for example, have them make a marker color tier list with the markers themselves) or draw some squiggles on the board and have them turn them into an animal, such as birds. It's also completely okay for the opening to be content-based, but it should be fairly light and easy to get into (which your openings already seem to be). The main hope is to just get the students out of their seats and interacting/talking with each other. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PHPS-106,Full observation,,,,Yes,Yes,would you rather,"Group discussion, Clusters, Group survey",Promoted collaboration,Somewhat,Somewhat,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,"The session was extremely well planned out and promoted group collaboration throughout. However, the SI could hone in on checking for understanding and redirection a bit more when in a more general class environment. ",Yes,Yes,Yes,Yes,Unsure,Yes,Yes,Somewhat,Yes,Yes,"The entire session was very student led, and even in a group this size the SI had students at the white board and writing down answers. Overall the session had a great atmosphere to be in and the SI was able to reasonably interact and reel in a group this social and of this size.  ",24,Kahoot / Exam reminders,"* The SI did a fantastic job promoting collaboration and group interaction both inside and outside the SI session, whether it be from the group worksheet, the use of GroupMe, or encouraging students to work with one another when confused.

* The SI kept the energy positive and productive throughout the session. Likewise, the SI was able to reel in the students when needed. 

* The SI was very observant and made sure to interact with each group during the cluster section, managing group dynamics and promoting students to figure out problems as a team instead of just seeking answers from them. 

* Used wait time strategically and made sure to hear from groups that have not spoken as much. 

* In particular, I loved the opening. It was fun, got the class moving around, thinking, talking, and took advantage of the size of the session.

* Something interesting was how the SI went beyond just exam reminders and tips, but included wellness-oriented tips such as eating breakfast, getting enough sleep, and staying relaxed before an exam. ","* The SI could incorporate some more redirection and checking for understanding into the session to fully grasp comprehension, as it was hard to tell if everyone fully understood some answers. For example, when (or after) having students write an answer on the board, have another student explain the answer. Likewise, throw them a curveball and change the question slightly to see if they fully understand it. 

* While it can be tempting to get a group consensus around understanding, with a group this size, someone is bound to lie or undermine their lack of understanding. So, taking the time to pause and have students summarize key takeaways or misconceptions could ensure everyone stays on track.

* I would have loved to see a bit more redirection, with a group this size and as talkative as they are, having the ability to bounce a question around the room or get different perspectives/phrasings is almost a superpower. "
,MATH-101,Full observation,,,,Yes,Yes,The session was opened with a random kahoot of a topic that the student choose which was a quick/fun game. ,"Group discussion, Individual Presentations",Promoted collaboration,Somewhat,Yes,Unsure,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,The SIL fostered a positive learning environment. The session consisted of a good variety of activities that incorporated multiple different leanring strategies. While only having one student can be a challenge the SIL did a good job adjusting the session and activities as needed. The SIL did a good job guiding the student asking follow up questions to check for understanding. The SIL also providing guidance without re explaining which was great. I also liked how he stepped in to participate during one of the activities to provide a partner for the student. ,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat,Unsure,Yes,Yes,The SIL seemed to have a good relationship with the student and provided positive/encouraging feedback. The SI session was student centered with the student holding the maker much more than the SIL. My only feedback would be to utilize wait time as much as possible even if it feels hard or uncomfortable. ,1,"No official closer (not sure if this was due to time/observation?) , but wrapped up with having student make their own questions to be solved by SIL and switch roles","Nice job today! You created a positive learning environment. While only having one student can be a challenge, you did a good job adjusting the session and activities as needed. The SI session was student centered with the student holding the maker. Nice job guiding the student asking follow up questions to check for understanding without re-explaining. 
I also liked how you stepped in to provide an partner for the student.","Overall very good, my only feedback would be to try to utilize wait time as much as possible even if it feels hard or uncomfortable. "
,MATH-171,Full observation,,,,Yes,Yes,Went right into the trig review,Group discussion,Promoted collaboration,No,Somewhat,Unsure,No,Somewhat,Yes,Somewhat,Yes,Somewhat,Somewhat,"Redirecting questions, I didn't notice SIL redirect questions from one student to another. I think he answered them himself. Making sure information is correct, at one point he let the students go down the wrong path for a while without correcting them. Checking for understanding, he would just ask ""does that make sense"".",Yes,Yes,Somewhat,Unsure,Yes,Yes,Somewhat,Yes,Somewhat,Yes,"For some of the session, one of the students was sitting out of the activity and on their phone. There seemed to be some unkind words being said about someone called ""Jake"" I don't know if that's another student, but SIL was not making an effort to stop the students talking bad about this Jake person. ",3,"When the students finished solving the problems on the board, they stuck around and talked to the SI Leader about ","You seemed to have a super friendly relationship with your students, having casual conversation about sports. You did a good job incorporating late comers into the activity. The session was student led, students were the ones holding the markers all the time, and you were not lecturing. ","One quick trick to improve your redirecting questions is to ask ""what questions do you have?"" instead of ""does that make sense"". I understand wanting the students to struggle a little bit on the practice problems, but make sure that you keep them relatively on track by not letting their mistakes go unchecked. Make sure that your sessions are a safe space for all students, and that there's no slandering of other students or professors happening. Try to change the subject when you notice your students start doing that. "
,MATH-171,Full observation,,,,Yes,Yes,"The SI session was opened with a game called ""low high"" to decide which topics have more searches. It was a fun interactive game. ",Group discussion,Uncertain,Yes,Yes,Yes,Somewhat,Yes,Somewhat,Somewhat,Yes,Yes,Yes,"The SI did a great job including an exam debrief, and incorporating a discussion of study strategies which was great. This is always such a great thing to do after a test! I noticed that the exam debrief took up a lot of time since students asked questions, which i think was beneficial, so the SI leader seemed to be okay adjusting accordingly. The session was very student centered and the students were holding the marker instead of the SI, which is great. Overall the activities were collaborative and there were a good variety of activities. I liked how the SI had the two students working together, switching off with the marker and working together to solve the problems. I think that the SI leader could also redirect more of the students questions before providing any guidance or answers. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI leader did a great job setting a positive, fun and encouraging session environment. She seemed to know the students and they seemed comfortable asking questions/participating. The SIL also did a good job balancing productivity by redirecting attention back to math when needed. The students were all engaged during the session and session was very student centered. The SIL did a good job asking follow up questions and checking for understanding throughout. ",2,"The SI session closed with a discussion of course registration dates and spring classes students would be taking. This seemed like a helpful discussion especially for freshman, as this may be a new. ","Nice job setting a positive, fun and encouraging session environment. I really liked how you incorporated an exam debrief, and a discussion of study strategies which was great. The session was student centered and the students were holding the marker instead of the SI, which is great. Overall the activities were collaborative and there were a good variety of activities. I liked how you had the two students collaborating, switching off with the marker and working together to solve the problems. The students were all engaged during the session and the session was student centered. You did a good job asking follow up questions and checking for understanding throughout. ","Overall, very good! I think that you could try to redirect more of the students' questions before providing any guidance or answers. With 2 students this can be hard, but it's good to try to redirect to the other student before stepping in! This also ties into utilizing wait time before redirecting questions that were asked. "
,MATH - 101,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails","* The SI has a great understanding of the SI model and its nuanced details. His session promoted collaboration, had the students at the whiteboard, and was adaptable to the number of students and the students' needs.

* Used a variety of learning strategies (round robin, clusters, group discussion).

* Something small but helpful in the learning process is having the students move around and not be stationary, which the SI seems to have baked into his session. I find that when students move around, they tend to be more engaged, communicative, and more accepting of the SI model. 

* Likewise, the SI's session flows from one activity to another. The round robin gives them time to think, the mind-map allows them to cluster their ideas and think on a conceptual level, and then finally, the practice groups use the mind map as the template for problems.","Marketing:

Overall, the SI is doing a great job here. They are reaching out to other SIs, and with the SI team, they're professor is very helpful. They are going above and beyond for marketing. They tried punch cards, candy, mock SI sessions in class, merged sessions, in-class marketing, and the professor has also been promoting it via widgets and spoken announcements. Unfortunately, I believe this happens to be more of an overall class issue and has nothing to do with the SI. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GCIS - 123,Full observation,,,,Yes,No,Big O cheatsheet ,Group discussion,Promoted collaboration,Somewhat,Somewhat,Yes,Somewhat,Yes,Yes,Somewhat,Yes,No,Yes,"The SI used wait time and redirection well. But could most definitely improve on check for understanding. It was hard to fully grasp if the student knew and understood the ""why"". They did a good job at breaking apart the problems into more digestible pieces then recombining them. There was also 1 or 2 moments were the SI missed incorrect information but nothing major. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nothing too negative here. The SI was respectful and created a relaxed environment to be in.  They also revealed stories and were very personable with the student. ,1,Time complexity review of quicksort,"* Student-centered facilitation: The SI consistently used wait time and guided questioning to help the student discover answers on their own, promoting critical thinking. 

* Breaking problems into manageable parts: The SI did an excellent job scaffolding complex topics like recursion and Big-O by having the student tackle one piece at a time before recombining them into the full solution.

* Active recall integration: The opener with the Big-O cheatsheet was a great way to re-engage prior knowledge. It also physically brought the student up to the board, encouraging active participation.

* Productive dialogue: The session maintained a conversational tone, which always helps strengthen that SI-student dynamic. ","* Clarify conceptual understanding early on: At times, it was difficult to tell whether the student fully understood Big-O or was recalling memorized facts. Consider having them define key terms first, then use examples to reinforce understanding.

* Conceptual Guidance: From my experience, it can be challenging to have students jump right into code. It might help the student more if they first start with more conceptual understanding before jumping into technical. For example, it was unclear if the student fully understood quicksort while coding it. Having them define the process and then drawing out an example promotes both check for understanding and incorporates multiple learning strategies. 

* Enhance facilitation strategies: Certain facilitation strategies could be honed a bit. For example, checking for understanding seemed a bit lacking. Having the student explain their code aloud or predict outcomes can make their reasoning clearer. 

* No agenda: While it's something small, having an agenda on the board can help late comers integrate into the session or even allow students in general to keep track of how the session is progressing. "
