,"What are your thoughts about the opener, activities, and closer?",Describe how the SI Leader interacted with the students. How did they foster a comfortable and productive learning environment? ,Describe one thing the SI Leader could work on improving?,Describe one thing the SI Leader did very well.,What general feedback would you like to share with the SI Leader?
,"I like the opener, infinite craft is always fun. For the activities, the students collaborated well. I like that the SI leader had the students explain their work, this was a good check for understanding. I love having the students come up with companies and then debate which category they're in - it was great for collaboration and also applying what they've learned to real world scenarios. The closer was fun, too",The SI leader was personable and created a fun environment which made the students comfortable and able to to collaborate well.,"I can't think of anything to improve, I think the SI leader did a overall great job.",Great redirecting questions. Great checking for understanding of the other student when one of the students gave the answer.,"The SI leader did a really great job of getting the students to collaborate, especially in the sorting the companies activity, which got the students debating, strengthening their understanding. I think it would seem hard to make interactive activities for a class like econ, but the SI leader did a great job with this."
,The opener was very frustratingly fun. I was losing my mind slightly but I was able to solve the Pips game with SIL. The activities seem like they would have been good for the students. Sophia was able to walk me through process scheduling activity where I had no prior knowledge. The closer would have been rose bud thorn which would have been great for Sophia to gauge where her students knowledge. ,SIL fostered a comfortable learning environment by bring in Irin who came earlier for her session to try and participate in the closer. Sophia was good at allowing me and Irin to attempt the Pip on our own without much input from her. I believe she would have does this effectively if she did have students show up. ,"I believe the SI Leader could improve on her attendance. I understand that she just had an exam and it is snowing, but she did say she typically only has one regular. I believe is she used an incentive, maybe candy, to try and motivate the regular to bring a friend that may help her attendance.","The SI Leader did a good job at redirecting questions, Irin (who is taking the course SIL supports currently) came earlier for her SI session was able to understand the material more than me. Sophia did a good job asking questions to learn what Irin knows as they have different professors. Sophia also did a good job at teaching me from scratch. Sophia is a great teacher even if the students have little to no knowledge about the subject. ",The general feedback I have is to not discouraged with having a no show. I have had many no shows in the past. The key is to keep trying and talking with students to find out how to plan sessions around their needs. I have tailored my openers and closers to the interest of my students and that may be something to consider if you have not done so already. You are a great teacher SIL!
,I thought the activities were interesting and informative,I thought the atmosphere was generally low stress,I feel like we could have used a little more help on syntax stuff,Generally used the facilitation methods very effectively,Nothing I didn't share in person. Great job!
,"Opener - The opener was a fun and interactive activity which served as a good warm-up going into the session. The opener also encouraged discussion among the SI leader and student

Activities - The first activity was a good and relatable premise, which was fun and creative, incorporating the class topics into the activity. The SI leader discussed the activity’s problems with the student well, helping them to find the answer without giving the full answer directly. In addition to giving explanations of the concepts to the student, the SI leader used some simple example problems to help the student understand the basics of the question. After the activity, the SI leader gave a quick summary of what areas the student can improve upon based on the problem. The second activity was a bit shorter due to time constraints. This activity did a good job of building on concepts introduced in the first activity. While shorter, this second activity still felt like a good way for the student to study some of the course content. 

Closer - The closer was another online game, which was a fun way to end the session, keeping the student engaged, while winding down from the more intense academic portion of the session. 
","The environment felt casual and friendly, while still being one focused on learning. The SI leader would discuss questions with the student openly, rather than relecturing or speaking over them. The SI leader would also give the student adequate time to solve the problem on their own, giving feedback and observations about the student’s work as needed.  ","The SI leader gave some longer verbal explanations of concepts which could be improved by adding a visual aid, such as drawing on the whiteboard. For instance, when discussing the second derivative test, the concept was a bit hard to visualize without an aid, due to the topic's heavy use of graphing concepts. ","The SI leader had a good back-and-forth with the student, keeping up the energy throughout the session. The SI leader was able to have a good conversation with the student regarding the session topics, and it was clear that the student was engaged throughout the session. The SI leader also knew how to give answers and explanations that the student would understand, which was great for tailoring the session to the student’s needs","The session seemed fairly fun and engaging, and the activities were all good at incorporating course content. The SI leader did a good job at managing their time, so that the majority of activities could be completed within the session time. The SI leader had a good rapport with the student, giving the session a welcoming and friendly atmosphere. Overall, the SI leader did a good job of being prepared for the session, with fun activities and relevant content. One area of improvement could be on incorporating visual aids into longer explanations of topics. An area of strength the SI leader demonstrated was a cultivation of a good learning environment. The student was clearly comfortable with the SI leader and was also engaged in learning the course materials. "
,"Even though the session ended up being a no-show, I thought the overall session plan was thoughtful and creative. The opener using Pokémon Showdown was engaging and connected well to real world applications of classes and methods. The planned activities of sorting traits/actions/names into classes, spotting errors in code, and reviewing commonly missed midterm questions were all nice activities in my opinion. The activities really good at checking for understanding and had the students work together. The closer was simple, but I really liked that he asked students for feedback on the previous exam prep so he can improve the next one.","Because there were no students present, there was no interaction this session. However, with Zifeng's explanation of his session plan, I could tell he would interact with the students in a very friendly and welcoming way. He used partner work, group discussion, and hands-on activities, which shows that he intended to create an inclusive and peer-supported session.     ","I think one thing the SI Leader could work on improving is to improve marketing strategies to get more students to the sessions. I see that he tried to use the java tokens to get more students, but there was still a no show. I think maybe he could write the times and dates of the sessions on the whiteboard if he isn't already doing so or try to have the instructor help market the sessions.","Zifeng created a highly engaging session plan. The activities were interactive, aligned with course content, and it also encouraged students to think about classes, methods, and common errors. I think he made a really engaging session plan and the activities.","Your session plan is creative, thoughtful, and designed with student learning in mind. Even though no one attended today, the session plan showed that you prepared and an understanding of collaborative SI techniques. Keep developing interactive activities like these (especially Pokémon showdown). You should also consider strategies to increase attendance so more students can benefit from the work you’re putting in."
,The session began with the SI leader talking about the most recent exam. The students were immediately responsive and enthusiastic to talk about it. It seems that there is a good connection being made between the SI leader and the students that come to their sessions. The student knew exactly which questions they had and the SI leader went through the solutions asking questions and checking for understanding along the way.,The students seemed actively engaged. The student felt that they were able to speak freely about both what they understood and what they struggled on. The SI leader then responded with questions or prompts to make them understand what they had done wrong instead of just giving them the answer. The speech was productive and there was no time wasted. The SI leader spoke kindly and let the student do most of the talking or leading of the conversation.,"The SI can improve on the presentation on certain questions or explanations. The students found themselves forgetting things that were previously briefly mentioned, but these weren’t written down. The explanations given could also be improved by having something written down while explaining so the students can have a visual along with the instructions.",The SI leader provides their students with a lot of review materials outside of the classroom and session time. There we’re provided study guides for the exam as well as provided solutions to any questions or problems that were gone over during the session time.,"Overall the session went really well, the students seem really happy to attend and there seems to be a really nice community being created with this SI Leader. The only things I would think to improve upon is presentation of materials, ideas or questions. As the resources around you like whiteboards, paper or computers can be used to make sure the students can understand what you are saying, not just hear it."
,"I think the opener, kwl chart, would have provided a great start for students to identify common struggles amongst their classmates and can also serve as an icebreaker for students(though only one student attended). The activities were also very helpful in that they provided extra practice problems for students to review old materials such as computing long divisions and performing checks using D * Q + R. I also liked the kahoot closer as it's always a more entertaining method to let students practice solving mcq questions in a short amount time, in which I find was a great way to help improve students' problem solving time on real exams.","In one of the activity, where students were supposed to partner up with each other and take turns to solve a problem, Eddy was able to host this activity by acting as the partnering student when only one student showed up. Without giving direct hints or answers, Eddy asked guiding questions such as what concept are we supposed to apply when solving this type of problem and helped the student complete the problems very quickly. It also seemed that the student did not treat Eddy like a teacher and more like a real peer during that activity. ","The SI leader can try to make his activities more entertaining. The session environment felt very similar to a classroom where students just solve math problems and leaves. I think that in future sessions, the SI leader can include real world applications of the class materials or design problems in a game-style to motivate students to be more engaged.",The SI leader was definitely very helpful in guiding students to master topics. The problems introduced in the session covered all class materials and were more difficult than practice questions from the lecture. The SI leader also checked for understanding by asking students to solve a similar problem with different values and explain their thought process from the start.,"Overall, the session offered a very productive and comfortable environment. The student reflected the effectiveness of the SI leader's activities through coming in not knowing how to solve many of the in-class problems to being able to handle higher level questions by themselves after the session. However, more different methods and marketing techniques can be implemented to make students feel more engaged to participate in the sessions such as marketing materials and more entertaining math activities."
,"Overall, I think the session is great. SI leader had students go up to the whiteboard and do practice problems, and had the student walk him through the questions. Most of the time students were leading the SI leaders and explain his thought process. ","I like that the SI Leader used Thanksgiving as an opener, and how he acted just like another student in the class, solving problems together with the student. ",SI leader can work on incorporating more checking for understanding in the session. ,"I like how SI leader have the student refer back to his note when he's struggling, instead of just giving off answers. ","Overall, I think you did a great job at fostering a comfortable learning. I also like you have student go to the whiteboard and handed him the markers to do the practice problem, which made the student more involved in the materials. "
,"The opener was really fun and collaborative. The main activities had great content and collaboration. And the closer was a nice, easy way to finish the session.","SIL has a great connection with her students; they all get along and work well together most of the time. I think the students take advantage of that relationship to get off track, but Jasmin is pretty good at getting them back on track.",Maybe use a little more wait time and redirect the question to other students. And make the Agenda a little more descriptive.,"She did a great job creating a fun, collaborative environment where all the students get along! Both main activities covered the topics that will help the students succeed on the quiz and exam content!",Keep it up!🐐
,"The opener was a check in google form, it went well I am not sure what was on it however I assume it had to do with possibly how a student feels about the course perhaps. Next was a brain dump activity on content that they went over in class. After that they went into practice problems that had to do with L'Hospitals Rule. Ending was higher or lower.","Aditya, did a great job interacting with the student. The student seemed to be a regular, and had even said that he attended 13 sessions which is pretty good. They seemed to have a pretty good relationships occasionally making jokes while keeping the session on topic.","I would say one thing you could improve on is wait time, it seemed that they were a little quick to answer some questions however, it is only one person so that may be a little more difficult which I understand.",I would say the activities. The activities were short enough to go through them while connecting them together. And also being able to communicate well with the student and be able to have a fun and productive session.,"Great job! You seem to have the SI pillars down, and a great checking for understanding, as he could tell the student was strong on this part of the session, so decided to switch to material the student was weaker with to get more practice."
,"The opener was spotle which was a great activity to keep the students engaged. The activities included having the students write what they know about the topic which was a great way to introduce the topic and have the students to start thinking on their own. I liked the matching activity because it allowed the students to collaborate on deciding which symbols relating to what definition and their units. I could appreciate that the session was planned on a slideshow so the activities flowed and the session was very efficient in getting practice, but also allowing the students to collaborate and have fun. The closer was a question posed to the students and i thought that was a good touch since it related to studying and some students could benefit from getting new ideas when studying.","The SIL allowed the students to work together to find solutions, but also stepped in when necessary to guide them when they were confused. The SIL also encouraged the students and corrected them when they spoke negatively. The students were comfortable working in the session and interacted well with the SIL. The SIL also periodically did a temperature check of the room to see how the students were feeling about the topic.","The SIL could share the answers with the students before moving on to the next question, that way the student can compare the real answer side by side to what they did so they'll be able to correct any mistakes made. This could also build their confidence. I would also say to have less wordy slides, or have the slides on the screen long enough for the students to not just read but to allow what they read to soak in before changing the slides.",The SIL did a great job of guiding the students to figure the solution out themselves instead if just telling them the answer. The SIL did a great job making use of wait time and redirecting questions during the session to ensure all the students participated.,"Overall it was a good session and I enjoyed it. The content was relevant and you did a great job correcting the students without stepping in too much. I also liked that there were reminders at the end of the session, and the session ended on time."
,Jesse had an interesting opener that introduced the concept (indeterminate forms) in an interesting way. ,"Jesse has a very welcoming environment for his students. In todays session, only one student came, but they talked about the other regulars that they usually see at his sessions. Along with that, they talked about shared experiences in the classroom, which implies that Jesse's relationship with them extends beyond the SI Session, which contributes to the unique interactions they have. ",Jesse is sometimes a little too quick when providing help. In the future he could probably use more wait time. ,Fostering a comfortable and welcoming environment for the students to participate in.,"Great atmosphere, could potentially push his students more by providing less help. Overall great session. "
,"Opener: 
Opener was ok, student did not seem interested but SI instructor tried there best to get the student to work through binary operations which can have a good warming up affect before jumping into math content.

Activities:
Brain dump activity was good gave the student a way to remember and review what was done in class because they said they did not remember. SI instructor did a good job with good more in depth with content and getting the student to understand topic more deeply. Content practice was good to go through what the student did not know.

Closer:
Closer was a good wrap up with Wikipedia run.",SI leader worked with well with a student who seemed disinterest but made the student feel safe to answers questions and speak there mind.,SI leader did well with here activities but student did not have laptop or paper so maybe provided or projecting on the screen would help engage the student more rather then watch leader write on whiteboard.,Keeping a disinterested student engaged in the session.,"Did very well, try and get more people if possible to cultivate a better environment and use projector if possible for students without any materials. "
,"I found the opener and closer activity more of an energy check than an activity involving collaboration to break ice between students as basic questions where asked like plans for break and finals. I like the activities the well-designed ,informative for the student learn outside the class","No show. But as per the SI and I discussed ,the SI seems to guide students with easy examples and hints during learning activities",The SI could have included the activities to have a part where the students can take a look back on the activities done in class so that they don't feel lost while solving the activities like they do as per the SI  ,The course content activity on power point was really standard exam-like questions,"Nice session, really informative for the students to learn the course"
,"They go well together; the problems are very digestible, and its a nice idea to have a brain dump that is class-specific (sometimes makes them say more). Making their own formula sheets is a really fun closer idea!","Not sure, no show, but we did discuss it briefly and everything seems as it should; they intend to ask them to check their notes, employ wait times, discuss study strategies, and simplify the question instead of giving a hint (which I find to be a cool idea).",Try out a powerpoint instead of a document; looks nicer and there's more potential when presenting to students/sharing on the larger scale.,"The activities are super fun and varied (brain dump opener, formula cheat sheet closer), I love, unfortunate we didn't get to see them in action. ",Keep up the activities (especially the opener and closer!!) and test out powerpoints/slideshows! They don't work for everyone for sure but you never know aha
