,Class that the SI Leader Supports,Number of Students in Attendance:,Which portion of the session did you observe during this walkthrough?,"While observing the session, did you observe any of the following? Check all that apply.",What did the SI Leader do well?,What could the SI Leader improve?,What yellow/red flags did you notice?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","Great flexibility with your session material! You were able to identify what was most confusing to the students and adjust your session accordingly. It's also fairly difficult to keep multiple students engaged during practice problems, but you managed to do so well. ",Remember to include an agenda on the whiteboard!!!,,,,
,MATH-171,8,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","Fantastic use of wait time during the marker activity! You never answered the questions for them, and really do 'just work here'. I was a bit worried at first when you sent only one student up to the board, but having people contribute line-by-line and have to articulate their thoughts clearly to the annotator was a brilliant idea! Also great checking for understanding and redirecting to the rest of the students, everyone seemed really engaged. ","The one thing I'd recommend is possibly trying to split the session into a few smaller groups for large exam review sessions like these. While everyone seemed engaged, there were still fairly long gaps where some students would go without contributing. ",,,,
,CHEM<3,11,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","The session atmosphere at SIL and SIL's sessions are always SO welcoming!! The students were working on molecular formula questions when I came in around the middle of the session. SIL was facilitating, there were some students up at the board and other students working in groups/pairs for the questions. SIL had the students up at the board explain how they got their answer. She did a great job checking for understanding using the lights out method after each question. Her transition between topics was seamless and I love how engaged the students were!","This is super small, but I noticed that the two girls who were sitting closer to the wall seemed a little distracted and were on their phones at points during the time I observed. It might have been helpful to ask them to move closer to where the larger table was so that they could be more involved in collaboration throughout the session. This is super minor though and you did a great job of checking in with them when you walked around!",N/A,,,
,Math 171,3,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","* very student-led environment

* The SI effectively checked for understanding by asking students to explain their reasoning and encouraging discussion.

* The lesson agenda was clear and structured, helping students stay focused. In particular, it looked like the SI had a lot of fun and varied activities planned, which I wish I could have stuck around to see.

* Students felt comfortable collaborating and problem-solving together, and the SI used wait time effectively to support their independent thinking.

* Time was managed well, and the SI was flexible for students to choose their approach to the activities.

* Something I thought was interesting was the use of students having individual whiteboards and then the class whiteboard. It seemed to help more shy students try out things on their own first, before committing to an answer. ","* It seemed at times the main whiteboard was being used by one student. If you notice one student tends to do all the writing for a majority of the session, you might want to try a “driver” system so that all students have turns leading at the board, ensuring balanced participation.

* could use a bit more redirection",,,,
,CSCI 141,6,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","When I walked in, SIL was doing a really interesting activity where the students had their eyes closed and were reviewing some type of code. I'm honestly not sure what was going on but it seemed really interesting, and it was student-led also so that was super cool. Another activity SIL did was a CS version of the card game ""go fish"" (that's what it seemed like to me lol). It seemed like an exchange of terms and definitions between the students, and whoever has the most matches wins. Students would say ""does anyone have this?"" and other students would respond yes or no. These are really unique activities and super collaborative!","There weren't really many opportunities for wait time because the activities I observed were very student-led, but Chris did a really great job at redirecting questions. I would have maybe liked to see a little more checking for understanding, but maybe you did some towards the end of your session that I didn't observe. Overall awesome session though!! I did a walkthrough for Chris during the first round and it was a no-show so I was really glad to observe him with 6 students in attendance. ",,,,
,GCIS 123,2,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","I came in to the middle of SIL's session and there was only 1 student present working on doing binary recursion. A few moments after I sat down, a second student came in to the session and SIL did a great job catching the student up. The student immediately jumped in up at the whiteboard and helped the first student to work through the problem. SIL was facilitating the activity very well and the students held the marker the majority of the time. He was also asking great redirecting questions to give the students hints. I also really liked how SIL checked for understanding at the end by asking the student to repeat the steps of what they just did.","I would have liked to see a little more wait time being used, but I'm being picky because I think this session was great! There was one student sitting at the back of the room on his computer the whole time - this was a little confusing, I couldn't tell if he meant to be in the session or if he was just using the room to study? Not sure about that haha, but otherwise keep up the good work.",,,,
,MATH 101,1,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","SIL started the session off with Wordle, a classic opener! One of his first activities was true or false with different statements from recent content that the professor went over in class recently - I love this idea and wish I would have thought to use it when I was a SIL! He said that the activity would have worked better with a group, and I agree, but I think the one student did a pretty good job on her own. For each question, the student answered true or false and SIL asked the student to explain her reasoning. If the student got a question wrong, SIL checked for understanding by asking the student again to explain why. Each question led into the next and I think this was a great set up on SIL's end. He also did a great job reminding the student to refer to her notes throughout the portion of the session I observed. ","I know this isn't really something that Eddy can control because MATH 101 has been having attendance issues at sessions, but having at least 2 students at sessions would make it easier for Eddy to plan collaborative activities. I noticed that he had a gallery walk activity towards the end of the session - this is a great activity usually done for groups so I'm curious to see how it will work with one person. Maybe there's some different ways that Eddy could get creative with different collaborative techniques to see how they could work with just one person. Being picky though - Eddy has a really welcoming session environment and you can tell that he puts a lot of effort into his job! Keep up the good work!",,,,
,CSCI-243,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails, Other",Lauren ran an activity about Stack and Queue Abstract Datatypes. She seemed very comfortable helping me with good questions to prompt me to answer how I would implement the different parts of the ADT.,Lauren really showed that she cares about making quality practice problems and review material to give to the students. I was very impressed with that.
,MATH 171,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","When I walked in, the session was right in the middle and SIL's student was working on expanding functions. Right off the bat, I noticed SIL's strength in redirecting questions! He asked a lot of strong redirecting questions to help the student find the correct answer, telling the student to think back to previous problems that they did in the session or what content was covered in class and how it relates to the specific problem that was being solved. SIL also did a great job with wait time and allowed his student as much time as he needed to work through the problem before jumping in if the student had questions. Additionally, SIL did an awesome job of praising the student when he got the answer correct on the first try. I enjoyed the collaborative aspect of SIL's activities also - I hope to observe him in future sessions where he has more than 1 student!","I would have liked to see a little more checking for understanding! I know the dynamic with one student vs a small group is different because you only have one person to really check in with, but it still might be beneficial to ask the student to walk you back through the steps or ask him how he's feeling about these problems on a scale of 1 to 5. You seemed to have a good bond with your student and he seemed to be grasping the content so this isn't a big deal, just something to take note of! Great job overall!",,,,
,CSCI-242,7,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive",The SI Leader did a good job setting a comfortable and positive learning environment. The students were engaged and the SI leader asked good questions to check for the students understanding. The session was student centered and the students were collaborating in groups. I heard a lot of good discussion with guidance from the SI leader. ,"The session was very good overall, I think if anything the SI leader could try to direct all questions that students ask. There were a few that the SI slightly elaborated on, which could have been redirected. The SI leader could also try to incorporate longer wait time before redirecting or rephrasing a question. Overall very good and engaging session!",none ,,,
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive",The SI leader did a great job encouraging students to participate and praising their participation/knowledge. The students seemed comfortable and they were all participating. The session was student centered and the activities were creative. I liked the idea of catch and call game with a small football being passed around to answer questions. This also helped to check to understanding by having students individually answer questions.The students were up at the board and holding the marker much more than the SI which is great!,The SI leader did a great job overall if anything try to use longer wait time before redirecting the question or asking a follow up question. This can be tricky with 2 students but overall the SI leader did a good job redirecting questions to the other student or guiding the students when necessary.  ,none ,,,
,CSCI-141,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Other","* I really liked the activities planned out by the SI as they used many forms of collaboration techniques (group discussion, clusters, presentations) as well as different learning strategies. 

* Had students use active recall and combine topics they went over before break

* Great use of the room/space",For marketing it seems students tend to show up to one session but not the other. The idea of sending out a survey along with incentives to get the students to fill out said survey was discussed
,CSCI-141,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Other","* I really liked the activities planned out by the SI as they used many forms of collaboration techniques (group discussion, clusters, presentations) as well as different learning strategies. 

* Had students use active recall and combine topics they went over before break

* Great use of the room/space",For marketing it seems students tend to show up to one session but not the other. The idea of sending out a survey along with incentives to get the students to fill out said survey was discussed
,Math 171,2,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","* Creates a reassuring, comfortable, and student-centered environment.

* Clearly organized with an agenda on the board

* Encourages students to think critically and self-correct rather than providing direct answers.

* Effectively checks for understanding through questioning and on-the-spot examples.

* Integrates latecomers smoothly by having peers explain prior activities, promoting collaboration and communication.

* Uses appropriate wait time to foster thoughtful responses. ",Nothing too much to note here,,,,
,CSCI-243,1,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","* Maintains excellent rapport with students.

* Well-prepared, with code and materials ready for the session.

* Uses engaging, themed activities (e.g., Halloween candy incentives).

* Checks for understanding through follow-up questions.

* Something I really want to highlight is how the SI Guides students to identify and correct errors themselves rather than giving answers.

* Encourages students to double-check their work (even when correct which helps promote critical thinking) ",nothing too much to note here,,,,
,MOPS,1,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",SIL does very well to guide the student to the solution and by making them critically think by asking questions to a real world problem such as a car and a electric car to describe an interface.,"Teddy could improve on wait time, however it seemed like they were reviewing old material to catch up the student for the problem they were doing",None,,,
,GCIS-123,3,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",I think SIL does good about explaining how the concepts they are learning now is able to help them with potential classes they are doing now and does a great job at explaining at explaining questions that the students have. He had activities that tied into the opening activities it looked like. ,"I think the SI leader can improve by potentially putting in a marketing request to get more markers since I don't believe they had enough since It seemed that there were only 1. And having the agenda on the board, can help potential student that come in late understand what topic they are on.",None,,,
,CHMG-141,13,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",They did great at keeping the students engaged and really had a engaging opener activity where they played work chain. They also had a good activity where they used jeopardy towards the content start,"Nothing, I think the SI session was great. Only thing is maybe a variety of activities besides jeopardy however it seemed to be a good activity for the students",None,,,
,CSCI 141,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Weekly emails","Aaron has been using punch cards to win rubber ducks as marketing for his sessions. He said that his Sunday sessions usually bring in a higher attendance number of students. He walked me through his session plan and I really liked his activities! My favorite one that he explained to me was an activity where he would split students in pairs to work on code problems together (word frequency counter). Aaron said that the content in this activity was similar to what was in the students' labs so he tried to market that to get students to come. After the students work on the problems, each group gives a short presentation about their problem and how they did it, which is a great way to check for understanding.

Aaron said that his relationship with the professor is okay; I recommended reaching out to him to plug SI more in class to hopefully bring in more students for BOTH sessions despite the class size being small. Overall I think Aaron is doing a great job and I really enjoyed his activities that he shared with me!",
,MATH - 171,1,Middle,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","* Effectively used wait time to let the student think and respond.

* Designed problems that combined multiple skill sets, encouraging students to recall prior knowledge.

* Provided reassurance and support as the student worked through problems.

* Broke problems into simpler parts to help with understanding.

* Asked the student where they felt comfortable or uncertain to better tailor the approach.

* Demonstrated simpler methods and emphasized recall strategies (e.g., writing generic formulas before applying them).","* No agenda on the board: even a simple agenda helps indicate that an SI session is in progress and makes students feel more comfortable joining.

* While practice problems are valuable, consider adding more interactive components to increase engagement and promote different styles of learning.

* Examples:

**Provide a set of question cards for students to draw from.

** Create a slideshow with question parts for students to “build” an answer, like a puzzle activity.",,,,
,CSCI-243,4,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","* The session was highly student-driven, promoting active participation and collaboration.

* Excellent use of the classroom space.

* Employed varied collaboration techniques. 

* Students demonstrated strong chemistry and active participation (especially during the gallery walk).

* Rotated between groups effectively to support struggling students and gauge overall understanding. 

* Approached discussions in a conversational manner (“What are you guys thinking?”, “Where are we at?”), allowing students to drive the dialogue and avoid lecture-style instruction.","* When returning to a full-group discussion, the session began to lean toward a lecture format (e.g., defining “data type” directly).

** This would be a good opportunity to incorporate redirection and further student participation.

** If you feel you need to give a definition, you could check for understanding by having students make examples or redefine it in their own words. 

* When transitioning between groups during cluster activities, it might be beneficial to stick with a group a bit longer. There were moments where it felt the group didn't fully understand what they had just been told before the SI moved on to another group. ",,,,
,Math - 101,3,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","* Knows students by name, creating a welcoming and personal learning environment.

* Encouraged students to review their notes and develop questions for Quiz 3, promoting good study habits.

* Prompted students to go to the whiteboard and engage actively.

* Maintained a positive and encouraging tone throughout the session.

 * Integrated latecomers smoothly into the session.

* Demonstrated adaptability to students’ needs and levels of engagement.

* Used facilitation strategies nicely (checking for understanding and redirection)","This group of students does appear to be somewhat challenging, and unfortunately, the SI model might not work perfectly for this group. In this case, a more structured or guided approach may be beneficial. For example, during the “brain dump” activity, students had difficulty converting their ideas into clear concepts. Consider providing a more rigid structure or visual pattern (e.g., step-by-step templates or concept-mapping prompts) to help them organize their thoughts",,,,
,CSCI - 140,3,Opening,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","* The session was student-led, beginning with a brain dump activity to encourage active recall.

* The star highlight was the SI-student dynamic. The SI created a relaxed, comfortable learning environment, making the session feel like a collaborative study group. They knew students by name, took the time to check in with them personally (asking about what they did over break and other classes). And overall created a welcoming and approachable environment.

* Encouraged quieter students to participate and engage.

* Students worked well both independently and collaboratively, demonstrating a positive group dynamic.","* No agenda displayed on the board; having one could help structure the session and set expectations.

* Could incorporate more checks for understanding to ensure all students, especially quieter ones, are grasping key concepts.

* Might benefit from slightly more structure to balance the relaxed environment with targeted learning goals.",,,,
,MATH - 101,1,Closing,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","* Had the student explain each step and backtrack to prior steps, reinforcing understanding.

* Encouraged the student to explain the “why” in addition to the “how.”

* Reassuring and supportive throughout the session.

* Effectively used wait time to allow the student to process and respond.

* Broke problems down piece by piece, making complex concepts more manageable.","It felt that the practice problems jumped between types/difficulty. The SI could consider structuring example problems progressively, building from simple to complex:

Example sequence:

1. Concrete example (e.g., if f(2) = 4, what is f⁻¹(4)?)

2. General form (e.g., if f(x) = y, what is f⁻¹?)

3. Simple instance of the general form (e.g., f(x) = x², find f⁻¹(x))

(cont...)

5. More complex forms (e.g., f(x) = 1/(x+2), g(x) = 1/x - 2, f = f⁻¹?)

Building problems incrementally allows students to consolidate understanding and handle more complex questions with confidence.",,,,
,CSCI - 140,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI","The session was student-led. Employed various collaborative techniques. Activities allowed students to assess their understanding independently before engaging in group work, which can help students assess where they are and foster a better discussion. Promoted active recall and critical thinking, fostering deeper learning and conceptual understanding.

Something small, but the SI should make sure to have at least 3 content activities planned out. Even if you plan on not having time and skipping it, in the event the class runs quickly, it's always good to have a backup planned.  
","Marketing:

Suggested using surveys to gather feedback on why students may or may not be showing up, along with incentives on how to get people to fill out those forms:

Offer incentives (e.g., candy night) if a target percentage of the class participates.

Include questions on exam topics (e.g., “How confident are you on topic X, Y, Z?”) to help SIs plan upcoming sessions.

Ask students to rate SI activities that you've done, which can highlight the value of sessions and help you (it also lets no-showers see what they're missing)

Recommended leveraging the teacher as a marketing tool to encourage student participation and awareness of SI sessions, such as attaching SI ads to graded exams. "
,CHMG-141,3,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","You covered reviewing old material with practice problems from class, and did a good job getting the students to work together at the whiteboard. You pointed out important parts of the problems the professor usually gives. You checked for understanding by having students explain their thought process. ","I noticed in this session that one student, the girl, seemed to be a lot more comfortable with the material, but she was sitting away from everyone else. I would suggest making the most out of that student to help you help the others by making everyone sit close together to facilitate their discussion.",,,,
,Phototech ,17,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","The SI leader did a great job creating a positive, fun and supportive learning environment. There were a lot of students and a lot seemed like regulars. The session was very student centered and there was an emphasis on collaboration and group work. The students were engadged, asking and answering questions. The SI leader also did a good job checking for understanding and redirected questions well. ","The SI leader did a great job! If anything the SI leader could ensure they have a agenda on the board. I didn't see one (could have missed it in the slides previous to walking through), so maybe making sure this is included in the future! ",none ,,,
,MATH-171,2,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side)",The SI leader did a great job guiding the students and created a positive learning environment. The SI leader had good mix of content activities planned and the session was very student lead. The students held the marker more than the SI and were engaged throughout. The SI leader did a good job redirecting questions and checking for understanding throughout. ,Overall good session! If anything the SI leader could ensure they have a agenda on the board. I didn't see one so maybe making sure this is included in the future! Awesome job getting a latecomer all caught up and allowing the other student to demonstrate understanding and help out. ,none ,,,
,CSCI-141,3,Middle,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","You did a great job of bringing the students together to work on the problem. You started with one student at the board and then asked others if they could help them when they struggled which ended with all the students discussing the answer. Then, you also checked for the first student's understanding by asking him to explain the solution in his own words. When asking questions, you did a great job of asking students questions by name so they were all participating. You created a very comfortable environment where everyone willingly participated and the session felt like a study group.","Make sure to put the agenda on the board. There were times when you asked a question and waited a few seconds before giving them the answer. Use more wait time here just to give students a chance to process and try to recall the answer and if they still aren't responding, you could have them check their notes first as well so that they both remember the resource and are reminded to take good notes in class to use again.",,,,
,GCIS-123,3,Opening,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","You did a good job of being flexible since only one student was there. You became his partner which ensured he wasn't doing everything alone. However, you didn't dominate discussion or answer all the questions yourself. Instead, you gave him the time to figure things out and give you some answer.
When more students came in, you did a great job of jumping out of a one-on-one session and switching out yourself with the new student so they could continue with the activity. You also walked away from the group so they could work without turning to you with their questions which was a great wait-time technique. ","Make sure to put the agenda on the board.
The part of the session I observed was great so this is more of a nitpick. When the student wasn't sure how to answer a question or made a mistake once or twice, you tended to explain the answer out yourself. It might help to redirect the student to related topics, ask redirecting questions to the answer or mistake, or check their notes before you start explaining the answer.",,,,
,GCIS-123,2,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive","The brain dump was a great opener as it allowed the students to actively recall the material they would go over while filling in each other's gaps through discussion. When the students asked questions, you did a great job of redirecting them to their notes/slides which will remind them to use that resource.  It was also nice that you gave the students an estimate of how long each topic should take since it gives them a better idea of how the session is going and where they're at. You incorporated lots of different kinds of activities and learning styles in your session plan. At the end of the brain dump, asking the redirecting questions was a great way to ensure they understood the topic. ","When you ask questions, sometimes use their names to direct the question towards one person so every student is answering/participating. During the ""guess the output"" activity, if you want to ensure the students collaborate, use strategies like having them alternate who has the marker or have one person write and the other person dictate. If they work independently, have them check each other's answers before you do. ",,,,
,GCIS-123,1,Closing,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader demonstrates adaptability and flexibility when needed, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included",You did a great job engaging with the student throughout the session. The relaxed and comfortable atmosphere you created made it easy for the student to participate and ask questions. You also demonstrated excellent time management by keeping the session on track and finishing right on time.,"One thing to work on is redirecting questions back to the student instead of explaining them yourself. Try to keep the student holding the marker and leading the problem-solving as much as possible. Also, instead of asking if something “makes sense,” have them walk you through the steps to check understanding. You could also add a fun closer to wrap up the session!",N/A,,,
